,pactivity_value,uniprot_id,canonical_smiles
3937,8.795880017344075,P42345,COC1CC2CCC(C)C(O)(O2)C(=O)C(=O)N2CCCCC2C(=O)OC(C(C)CC2CCC(O)C(OC)C2)CC(=O)C(C)C=C(C)C(O)C(OC)C(=O)C(C)CC(C)C=CC=CC=C1C
3938,8.0,P42345,COC1CC2CCC(C)C(O)(O2)C(=O)C(=O)N2CCCCC2C(=O)OC(C(C)CC2CCC(O)C(OC)C2)CC(=O)C(C)C=C(C)C(O)C(OC)C(=O)C(C)CC(C)C=CC=CC=C1C
3939,10.0,P42345,COC1CC2CCC(C)C(O)(O2)C(=O)C(=O)N2CCCCC2C(=O)OC(C(C)CC2CCC(O)C(OC)C2)CC(=O)C(C)C=C(C)C(O)C(OC)C(=O)C(C)CC(C)C=CC=CC=C1C
49105,7.0,P09619,COCC(=O)Oc1ccc2[nH]c(C(=O)c3cc4ccccc4[nH]3)cc2c1
49653,7.698970004336019,P09619,COCC(=O)Oc1ccc2[nH]c(C(=O)c3cc4ccccc4[nH]3)cc2c1
49654,5.376750709602099,P09619,COCC(=O)Oc1ccc2[nH]c(C(=O)c3cc4ccccc4[nH]3)cc2c1
1018,7.154901959985743,P09619,CC(=O)Oc1ccc2[nH]c(C(=O)c3cc4ccccc4[nH]3)cc2c1
2445,5.309803919971486,P09619,CC(=O)Oc1ccc2[nH]c(C(=O)c3cc4ccccc4[nH]3)cc2c1
22049,6.239577516576788,P28482,CC(C=CC1=C(C)CCCC1(C)C)=CC=CC(C)=CC(=O)O
22050,6.335358024443875,P28482,CC(C=CC1=C(C)CCCC1(C)C)=CC=CC(C)=CC(=O)O
35245,7.045757490560675,P09619,O=C(c1cc2ccccc2[nH]1)c1cc2cc(O)ccc2[nH]1
35246,6.221848749616356,P09619,O=C(c1cc2ccccc2[nH]1)c1cc2cc(O)ccc2[nH]1
36348,5.494850021680094,P09619,O=C(c1cc2ccccc2[nH]1)c1cc2cc(O)ccc2[nH]1
1023,5.886056647693163,P09619,CN(C)CC(=O)Oc1ccc2[nH]c(C(=O)c3cc4ccccc4[nH]3)cc2c1
1028,5.455931955649724,P09619,CN(C)CC(=O)Oc1ccc2[nH]c(C(=O)c3cc4ccccc4[nH]3)cc2c1
13482,6.761953896871205,P00533,COc1cc2ncnc(Nc3cccc(Cl)c3)c2cc1OC
13961,9.500038134403809,P00533,COc1cc2ncnc(Nc3cccc(Cl)c3)c2cc1OC
13358,4.707743928643524,Q99640,COc1cc2ncnc(Nc3cccc(Cl)c3)c2cc1OC
13359,4.259637310505756,Q99640,COc1cc2ncnc(Nc3cccc(Cl)c3)c2cc1OC
16729,4.6595558851598815,P10721,O=C1c2c(O)cc(O)cc2OC(c2ccc(O)c(O)c2)C1O
33914,4.804100347590766,P10721,O=C1c2c(O)cc(O)cc2OC(c2ccc(O)c(O)c2)C1O
17589,5.153044674980176,P11309,CSc1ccc2c(c1)N(CCC1CCCCN1C)c1ccccc1S2
17590,5.131355561605174,P11309,CSc1ccc2c(c1)N(CCC1CCCCN1C)c1ccccc1S2
17749,5.161780778092374,P11309,CSc1ccc2c(c1)N(CCC1CCCCN1C)c1ccccc1S2
6179,4.701146923590294,P25098,Fc1ccc(C2CCNCC2COc2ccc3c(c2)OCO3)cc1
