,100nM,1000nM,pred
604,1.95,6.03,5.224789378427131
605,0.98,0.0,5.227762166014555
606,0.64,5.54,5.219130073013438
607,0.96,0.0,5.263121108717679
608,1.97,5.34,5.222971987171393
609,1.1,0.74,5.2220916741114305
610,1.23,1.07,5.210914901225733
611,0.0,1.76,5.556012639924376
612,2.47,3.92,5.2214309700991635
613,1.88,6.9,5.30749415987385
614,1.51,3.67,5.213817806385961
615,2.01,2.09,5.213145933735853
616,6.0,2.22,5.214981886450523
617,1.66,2.01,5.209686085141553
618,2.44,2.69,5.219715054581991
619,0.0,0.2,5.513417307397848
620,2.4,2.62,5.229436527345647
621,0.17,1.74,5.210332288233469
622,0.83,2.23,5.213015582684758
623,4.63,1.89,5.222116783856332
624,3.74,1.95,5.222116783856332
625,7.63,7.96,5.283376171289951
626,3.17,5.25,5.223386633135093
627,2.1,4.61,5.218615080721165
628,1.5,3.29,5.21790484388205
629,1.0,0.0,5.263121108717679
630,0.55,0.87,5.215633016753174
631,0.77,1.31,5.207865228863379
632,0.0,0.0,5.261723714552761
633,2.08,1.12,5.241029346473075
634,0.29,1.03,5.214618941900766
635,0.64,2.35,5.213015582684758
636,1.67,3.36,5.307547475581063
637,3.9,3.51,5.219029726684865
638,2.69,2.55,5.217383129864822
639,4.04,5.77,5.227374827787338
640,0.67,1.08,5.208559712016806
641,4.2,3.42,5.223116764180956
642,1.83,3.18,5.217270844160086
643,1.36,0.0,5.259129648965737
644,1.17,1.87,5.216790945591726
645,1.47,3.08,5.216934629577281
646,1.72,1.4,5.210220418072307
647,0.18,3.55,5.217774558864052
648,3.15,1.5299999999999998,5.222116783856332
649,1.97,6.61,5.237623286954421
650,2.76,2.1,5.215961823113853
651,2.47,5.43,5.225787876549393
652,7.53,11.42,5.6730284947276095
653,1.67,1.65,5.209686085141553
654,1.09,2.33,5.222475632343859
655,5.42,10.58,5.669703488267988
656,0.44,1.77,5.210332288233469
657,0.57,0.4,5.217436401681577
658,3.61,5.05,5.220854834214797
659,2.92,4.79,5.233944970885774
660,2.6,4.42,5.2214309700991635
661,2.67,4.215,5.2214309700991635
662,0.14,2.49,5.216016974985602
663,0.0,0.0,5.239302333469631
664,0.11,0.3,5.217436401681577
665,0.0,2.8,5.226625291870876
666,0.53,0.23,5.217436401681577
667,0.77,1.22,5.221059464124905
668,0.53,1.06,5.214618941900766
669,2.63,7.53,5.469554255633371
670,0.0,0.0,5.829601153577915
671,1.68,1.67,5.209686085141553
672,8.9,54.0,6.676719656667678
673,6.53,6.43,5.2351192864165785
674,0.0,0.0,5.231674855421404
675,2.26,1.68,5.220280831141662
676,1.63,6.3,5.232826012619217
677,1.43,1.31,5.210220418072307
678,1.19,4.38,5.224233216222309
679,4.83,4.45,5.219029726684865
680,1.03,0.93,5.2220916741114305
681,1.76,0.84,5.2609965168422725
682,1.34,3.26,5.21790484388205
683,0.34,1.31,5.210866621164223
684,0.0,0.0,5.785238940954993
685,1.26,5.1,5.218174712836188
686,2.68,0.88,5.277714738995323
687,2.87,6.06,5.229776071201638
688,7.51,11.58,5.6730284947276095
689,2.17,1.98,5.220280831141662
690,1.27,3.13,5.216934629577281
691,1.68,8.98,5.273365432637865
692,2.04,4.68,5.218615080721165
693,1.97,4.22,5.218615080721165
694,0.0,0.0,5.933787024503184
695,2.26,1.06,5.268358237026092
696,1.86,3.27,5.220531314820748
697,0.03,0.78,5.223909408921278
698,0.0,0.0,5.745795895530088
699,0.0,2.93,5.478760782868365
700,0.0,0.0,5.851856067143446
701,2.24,2.4166666666666665,5.214567240486822
702,0.71,1.4,5.207865228863379
703,0.0,0.34,5.513417307397848
704,1.68,0.0,5.2805793962675756
705,1.86,3.33,5.220531314820748
706,0.75,0.48,5.214435009380733
707,0.0,0.83,5.384140524308872
708,1.08,0.59,5.2220916741114305
709,1.05,5.91,5.238117524423823
710,3.65,0.91,5.276734802331993
711,1.52,3.07,5.216934629577281
712,3.36,3.17,5.219856293520293
713,5.29,0.3599999999999999,5.291719710013948
714,4.4,11.02,5.675947141229154
715,6.97,9.693333333333333,5.276953844167752
716,3.11,3.91,5.219029726684865
717,3.05,4.05,5.219029726684865
718,3.72,5.56,5.225685933665366
719,2.17,3.4,5.2227021182172555
720,3.74,1.44,5.222116783856332
721,4.12,3.7,5.219029726684865
722,1.01,3.89,5.224233216222309
723,4.79,5.17,5.223386633135093
724,6.01,4.97,5.220854834214797
725,5.74,8.28,5.276953844167752
726,5.21,6.4,5.238037932918122
727,3.25,4.36,5.219029726684865
728,3.6957142857142857,4.3100000000000005,5.219029726684865
729,3.37,2.33,5.214981886450523
730,0.0,0.0,5.9509973323464305
731,0.45,0.0,5.258757405956424
732,3.27,3.45,5.223116764180956
733,1.49,1.5,5.209686085141553
734,0.42,0.585,5.215633016753174
735,3.33,2.79,5.217313811167691
736,4.57,6.53,5.238037932918122
737,2.25,5.01,5.2204401882510965
738,0.21,1.4,5.210866621164223
739,3.6,4.6,5.219029726684865
740,3.57,4.35,5.219029726684865
741,1.58,0.0,5.22908078983438
742,4.5600000000000005,4.945,5.220854834214797
743,7.13,4.21,5.219029726684865
744,1.56,4.7,5.213817806385961
745,11.67,8.92,5.326793212771163
746,9.2,9.7,5.276953844167752
747,6.84,8.11,5.276953844167752
748,4.87,11.04,5.675947141229154
749,3.43,8.26,5.2798724906692955
750,6.843333333333334,2.18,5.214981886450523
751,0.78,0.98,5.2116175495999215
752,5.91,5.71,5.224456181285795
753,2.89,3.75,5.2214309700991635
754,0.0,10.57,6.171561405078185
755,4.43,1.6,5.222116783856332
756,5.945,7.305,5.472735704854654
757,5.91,2.21,5.214981886450523
758,6.0775,8.1525,5.276953844167752
759,2.2,5.49,5.222971987171393
760,1.27,2.06,5.210638915756541
761,1.99,1.95,5.220280831141662
762,0.94,2.09,5.2156488216097125
763,5.49,10.11,5.2866287949406665
764,0.04,4.36,5.226050951032157
765,6.26,7.28,5.482094244693751
766,2.09,3.2,5.219441647556594
767,3.55,3.24,5.2554388461287544
768,3.79,1.71,5.222116783856332
769,2.525,0.7999999999999998,5.277714738995323
770,3.56,1.38,5.234046431582824
771,4.6,4.42,5.219029726684865
772,5.49,3.7,5.219029726684865
773,2.78,2.31,5.217383129864822
774,6.06,6.97,5.325602104240953
775,12.19,11.39,5.7026362480297195
776,3.45,4.28,5.219029726684865
777,0.0,0.0,5.527757445094723
778,0.0,0.0,5.851856067143446
779,1.19,1.53,5.216790945591726
780,2.08,2.51,5.214567240486822
781,7.41,9.01,5.276953844167752
782,1.47,0.0,5.2477241469876414
783,7.67,6.53,5.2351192864165785
784,1.735,5.93,5.222162907488435
785,3.92,3.94,5.219029726684865
786,2.1,3.65,5.218615080721165
787,3.36,2.23,5.214981886450523
788,7.61,11.1,5.6730284947276095
789,6.42,12.53,5.6730284947276095
790,2.25,2.05,5.213145933735853
791,0.03,1.18,5.232337248593853
792,1.4,0.81,5.214986813661258
793,0.0,0.0,5.867238442837327
794,2.15,5.14,5.222971987171393
795,9.48,43.32,6.497321939653183
796,1.95,1.87,5.218110027745154
797,1.74,4.27,5.213817806385961
798,1.94,2.95,5.217270844160086
799,2.15,4.5,5.218615080721165
800,2.21,3.44,5.2227021182172555
801,3.13,5.92,5.227374827787338
802,0.79,0.24,5.214435009380733
803,0.0,4.67,5.829402730820612
804,1.55,0.61,5.214986813661258
805,5.76,4.54,5.219029726684865
806,0.0,0.74,5.522774766985179
807,3.56,4.3,5.219029726684865
808,4.31,6.09,5.227374827787338
809,0.63,2.49,5.213015582684758
810,2.09,4.26,5.218615080721165
811,5.72,3.87,5.219029726684865
812,4.58,4.09,5.219029726684865
813,9.84,7.48,5.499185768995234
814,9.0,5.84,5.224456181285795
815,2.74,0.0,5.3249138929314475
816,3.01,4.06,5.222063496679663
817,0.0,2.55,5.473886375798593
818,0.69,1.21,5.221059464124905
819,5.12,4.13,5.219029726684865
820,2.48,6.23,5.229776071201638
821,2.3,0.86,5.2748988496173235
822,0.0,0.0,5.551638047219508
823,3.02,3.51,5.219029726684865
824,3.25,1.02,5.27019418974076
825,1.72,2.78,5.214392147224679
826,1.59,2.5,5.21206022250751
827,1.15,2.87,5.224807557061028
828,0.75,1.08,5.298202343715818
829,6.59,6.27,5.224456181285795
830,3.68,2.81,5.217313811167691
831,3.25,7.25,5.474763687243595
832,2.61,2.79,5.219715054581991
833,8.49,4.84,5.219029726684865
834,2.69,3.26,5.225518007595255
835,1.43,2.25,5.21206022250751
836,5.37,0.0,5.339772738391789
837,4.96,4.65,5.219029726684865
838,1.82,4.86,5.216444277324657
839,4.49,5.07,5.220854834214797
840,1.9,2.98,5.217270844160086
841,4.91,1.705,5.222116783856332
842,11.97,13.09,5.705986595102619
843,6.02,4.4,5.219029726684865
844,4.39,8.27,5.2798724906692955
845,11.59,12.7,5.705986595102619
846,2.72,3.66,5.2214309700991635
847,1.38,0.67,5.214986813661258
848,4.13,4.4,5.219029726684865
849,4.37,3.0,5.219856293520293
850,4.43,14.93,5.792264571345111
851,0.02,0.0,5.239302333469631
852,3.16,1.0,5.27019418974076
853,3.91,6.87,5.317285810638658
854,2.77,0.0,5.4594917370542015
855,2.68,4.73,5.2214309700991635
856,4.905,8.31,5.2798724906692955
857,0.27,0.0,5.231025941301526
858,1.8,2.05,5.210638915756541
859,0.0,0.0,5.526940342393932
860,0.23,4.92,5.217774558864052
861,0.54,0.26,5.217436401681577
862,1.17,0.0,5.229857120611556
863,2.0,0.59,5.2748988496173235
864,5.77,7.23,5.47905124214665
865,2.19,2.76,5.2168991652039916
866,1.72,0.79,5.231126477391329
867,5.12,2.88,5.217313811167691
868,2.53,1.5,5.223096720519661
869,3.26,2.28,5.214981886450523
870,2.93,0.0,5.3651593583729555
871,2.62,3.63,5.2214309700991635
872,3.28,2.86,5.217313811167691
873,6.24,11.67,5.6730284947276095
874,1.75,2.19,5.21206022250751
875,0.7,0.0,5.250445930083812
876,2.17,2.95,5.219441647556594
877,0.83,0.0,5.250445930083812
878,0.0,0.0,5.512780755963893
879,2.65,2.54,5.217383129864822
880,3.19,1.78,5.222116783856332
881,4.75,9.51,5.2798724906692955
882,8.76,7.48,5.472735704854654
883,0.43,0.0,5.253447322384655
884,0.41,0.09,5.217436401681577
885,1.37,1.29,5.210220418072307
886,2.18,0.25,5.301776439830506
887,4.27,5.16,5.223386633135093
888,3.79,5.51,5.223386633135093
889,0.0,2.42,5.779005168651322
890,4.66,4.32,5.219029726684865
891,0.72,1.41,5.207865228863379
892,1.77,0.71,5.2609965168422725
893,0.0,0.0,5.53930902505708
894,0.0,0.0,5.535688288779428
895,2.36,0.0,5.334635365695104
896,1.53,2.9,5.214392147224679
897,3.63,8.19,5.2798724906692955
898,1.23,0.0,5.222752260161384
899,3.67,12.5,5.675947141229154
900,4.98,5.43,5.223386633135093
901,1.57,0.86,5.214986813661258
902,0.33,0.97,5.214618941900766
903,0.91,1.33,5.2152303239254785
904,3.67,4.78,5.219029726684865
905,1.7,5.95,5.222162907488435
906,0.42,3.48,5.217774558864052
907,3.25,5.25,5.223386633135093
908,6.3,0.2450000000000001,5.291719710013948
909,3.86,8.99,5.2798724906692955
910,3.83,5.423333333333333,5.223386633135093
911,0.89,3.99,5.214773166563209
912,2.28,5.09,5.222971987171393
913,3.4,0.0,5.351665420923016
914,1.23,0.43,5.216790198589661
915,4.99,5.24,5.223386633135093
916,6.47,6.81,5.2620425780636335
917,4.22,3.46,5.223116764180956
918,5.89,4.41,5.219029726684865
919,3.38,7.74,5.294713126779667
920,4.8,4.86,5.219029726684865
