,run_id,val_rmse,val_spearman,val_pearson
0,cluster_fold_0_single,0.8950179534746248,0.5924345067866219,0.6399843323424826
1,cluster_fold_0_multi,0.7869810377675965,0.6609300389636064,0.7177538336654027
2,cluster_fold_1_single,1.104614230252252,0.32457046051975785,0.3762980295115039
3,cluster_fold_1_multi,0.9685269796786119,0.4653986842038439,0.5183423196080936
4,cluster_fold_2_single,0.9308488659323694,0.6417679392123186,0.6523927996654786
5,cluster_fold_2_multi,0.8407056941185462,0.683631551147755,0.7082974503737478
6,cluster_fold_3_single,0.9459331251766032,0.6293474298258964,0.6406506921244652
7,cluster_fold_3_multi,0.9141410144766884,0.6383050937426161,0.6552343775033075
8,cluster_fold_4_single,0.9525548543516559,0.678877941830439,0.6923261776679215
9,cluster_fold_4_multi,0.8754213436893259,0.7272274093600325,0.7444861976091954
10,cluster_fold_5_single,1.1327095899206676,0.46011727816664877,0.4915364011945576
11,cluster_fold_5_multi,1.0501290544663557,0.5532668372564872,0.5715736110854099
12,cluster_fold_6_single,0.953233611332724,0.683073073653843,0.692232030623891
13,cluster_fold_6_multi,0.898751715652079,0.7042453240098666,0.7216561365371876
14,cluster_fold_7_single,0.9896950553118289,0.7070163052034728,0.6937353279972844
15,cluster_fold_7_multi,0.9775314085912284,0.7136674469186579,0.7061932899208161
16,cluster_fold_8_single,0.926699473597137,0.6100449904765811,0.6401339444326589
17,cluster_fold_8_multi,0.8249416970736355,0.6655328981214251,0.7058247694638518
18,cluster_fold_9_single,0.878698816375371,0.68396845174982,0.6994545142904509
19,cluster_fold_9_multi,0.8054073800522471,0.7335969962544602,0.7511591476970456
