,run_id,val_spearman,val_pearson,val_rmse
0,single_stage_clust_0,0.40869372323710584,0.44714315414810596,1.021418618426265
1,multi_stage_clust_0,0.47609559838594245,0.5365338643562596,0.9517121184328617
2,single_stage_clust_1,0.06130546976523919,0.08980763283704854,1.183775903079621
3,multi_stage_clust_1,0.19361283173634802,0.24734090794456698,1.1253599487561872
4,single_stage_clust_2,0.42803095077896597,0.44315263463981236,1.1485930453491322
5,multi_stage_clust_2,0.5168014914581316,0.5374843585687997,1.003880293889662
6,single_stage_clust_3,0.44526910066479397,0.4653855791398,1.1010555074762356
7,multi_stage_clust_3,0.47783583890235265,0.49270335104276564,1.0644365854280176
8,single_stage_clust_4,0.4362507423412554,0.4656719084658233,1.187301724023988
9,multi_stage_clust_4,0.5821869784135216,0.6052246230177684,1.0436728301194564
10,single_stage_clust_5,0.27186476652315356,0.311701121662896,1.2479506934597522
11,multi_stage_clust_5,0.40962710090681753,0.42788248725387507,1.1737563684119097
12,single_stage_clust_6,0.6000901778397831,0.6039772205949934,1.0636557857010984
13,multi_stage_clust_6,0.5975797467758153,0.6123074560299865,1.0259164269422092
14,single_stage_clust_7,0.5833523890911109,0.5788082306250925,1.354718395890709
15,multi_stage_clust_7,0.5780921536054537,0.5741406918414145,1.1656079564125306
16,single_stage_clust_8,0.4744659422362347,0.4918181547987827,1.0613715662023857
17,multi_stage_clust_8,0.49315682936854516,0.5275701625089556,0.9840424332026745
18,single_stage_clust_9,0.39633132453390263,0.4422378614092488,1.1154440367293275
19,multi_stage_clust_9,0.48300129331938246,0.523853996708106,1.0359207518971398
