uniprot_id,hgnc_symbol,canonical_smiles,concentration_100,concentration_500,concentration_1000,concentration_5000,concentration_10000,concentration_50000,concentration_100000,concentration_1000000,activity_value
P53778,MAPK12,C[S+]([O-])c1ccc(-c2nc(-c3ccc(F)cc3)c(-c3ccncc3)[nH]2)cc1,,,,,50.0,46.0,,46.0,6.146214911951032
P53779,MAPK10,C[S+]([O-])c1ccc(-c2nc(-c3ccc(F)cc3)c(-c3ccncc3)[nH]2)cc1,,,,,86.0,,,,6.332773124424534
Q02750,MAP2K1,C[S+]([O-])c1ccc(-c2nc(-c3ccc(F)cc3)c(-c3ccncc3)[nH]2)cc1,,,,,0.0,,,,4.698970004336019
Q15759,MAPK11,C[S+]([O-])c1ccc(-c2nc(-c3ccc(F)cc3)c(-c3ccncc3)[nH]2)cc1,,,,,50.0,,,,6.369999510099088
Q16539,MAPK14,C[S+]([O-])c1ccc(-c2nc(-c3ccc(F)cc3)c(-c3ccncc3)[nH]2)cc1,,,,,50.0,,,52.22291666666666,7.1885279284756525
Q5S007,LRRK2,C[S+]([O-])c1ccc(-c2nc(-c3ccc(F)cc3)c(-c3ccncc3)[nH]2)cc1,,,,,,,,9.5,5.0
Q16539,MAPK14,Fc1ccc(-c2c(-c3ccncc3)nc3n2CCS3)cc1,1.13,,10.88,,,,,,6.043093073808142
O14920,IKBKB,NC(=O)c1ccc(-c2nc(-c3ccccn3)c(-c3ccc4c(c3)OCO4)[nH]2)cc1,3.19,,3.5366666666666666,,,,,,4.698970004336019
O14965,AURKA,NC(=O)c1ccc(-c2nc(-c3ccccn3)c(-c3ccc4c(c3)OCO4)[nH]2)cc1,1.85,,3.93,,,,,,4.698970004336019
O15111,CHUK,NC(=O)c1ccc(-c2nc(-c3ccccn3)c(-c3ccc4c(c3)OCO4)[nH]2)cc1,7.62,,0.44999999999999996,,,,,,4.698970004336019
O60674,JAK2,NC(=O)c1ccc(-c2nc(-c3ccccn3)c(-c3ccc4c(c3)OCO4)[nH]2)cc1,1.02,,1.92,,,,,,4.698970004336019
P00519,ABL1,NC(=O)c1ccc(-c2nc(-c3ccccn3)c(-c3ccc4c(c3)OCO4)[nH]2)cc1,1.662857142857143,,4.39,,,,,,4.698970004336019
P00533,EGFR,NC(=O)c1ccc(-c2nc(-c3ccccn3)c(-c3ccc4c(c3)OCO4)[nH]2)cc1,3.1174999999999997,,3.0300000000000002,,,,,,4.698970004336019
P06239,LCK,NC(=O)c1ccc(-c2nc(-c3ccccn3)c(-c3ccc4c(c3)OCO4)[nH]2)cc1,2.19,,4.07,,,,,,4.698970004336019
P06241,FYN,NC(=O)c1ccc(-c2nc(-c3ccccn3)c(-c3ccc4c(c3)OCO4)[nH]2)cc1,1.15,,8.01,,,,,,4.698970004336019
P07333,CSF1R,NC(=O)c1ccc(-c2nc(-c3ccccn3)c(-c3ccc4c(c3)OCO4)[nH]2)cc1,1.36,,2.49,,,,,,4.698970004336019
P07948,LYN,NC(=O)c1ccc(-c2nc(-c3ccccn3)c(-c3ccc4c(c3)OCO4)[nH]2)cc1,1.925,,2.645,,,,,,4.698970004336019
P07949,RET,NC(=O)c1ccc(-c2nc(-c3ccccn3)c(-c3ccc4c(c3)OCO4)[nH]2)cc1,5.97,,9.53,,,,,,4.698970004336019
P08069,IGF1R,NC(=O)c1ccc(-c2nc(-c3ccccn3)c(-c3ccc4c(c3)OCO4)[nH]2)cc1,1.18,,2.2,,,,,,4.698970004336019
P08581,MET,NC(=O)c1ccc(-c2nc(-c3ccccn3)c(-c3ccc4c(c3)OCO4)[nH]2)cc1,-4.12,,9.28,,,,,,4.698970004336019
P10721,KIT,NC(=O)c1ccc(-c2nc(-c3ccccn3)c(-c3ccc4c(c3)OCO4)[nH]2)cc1,2.5375,,4.2075,,,,,,4.698970004336019
P11362,FGFR1,NC(=O)c1ccc(-c2nc(-c3ccccn3)c(-c3ccc4c(c3)OCO4)[nH]2)cc1,-0.93,,2.26,,,,,,4.698970004336019
P12931,SRC,NC(=O)c1ccc(-c2nc(-c3ccccn3)c(-c3ccc4c(c3)OCO4)[nH]2)cc1,3.87,,4.86,,,,,,4.698970004336019
P15056,BRAF,NC(=O)c1ccc(-c2nc(-c3ccccn3)c(-c3ccc4c(c3)OCO4)[nH]2)cc1,3.705,,4.3100000000000005,,,,,,4.698970004336019
P22455,FGFR4,NC(=O)c1ccc(-c2nc(-c3ccccn3)c(-c3ccc4c(c3)OCO4)[nH]2)cc1,4.19,,-0.14,,,,,,4.698970004336019
P22607,FGFR3,NC(=O)c1ccc(-c2nc(-c3ccccn3)c(-c3ccc4c(c3)OCO4)[nH]2)cc1,2.79,,1.9,,,,,,4.698970004336019
P24723,PRKCH,NC(=O)c1ccc(-c2nc(-c3ccccn3)c(-c3ccc4c(c3)OCO4)[nH]2)cc1,-0.32,,-0.29,,,,,,4.698970004336019
P24941,CDK2,NC(=O)c1ccc(-c2nc(-c3ccccn3)c(-c3ccc4c(c3)OCO4)[nH]2)cc1,1.12,,3.5200000000000005,,,,,,4.698970004336019
P30530,AXL,NC(=O)c1ccc(-c2nc(-c3ccccn3)c(-c3ccc4c(c3)OCO4)[nH]2)cc1,-3.37,,-1.2,,,,,,4.698970004336019
P31749,AKT1,NC(=O)c1ccc(-c2nc(-c3ccccn3)c(-c3ccc4c(c3)OCO4)[nH]2)cc1,0.43,,0.86,,,,,,4.698970004336019
P33981,TTK,NC(=O)c1ccc(-c2nc(-c3ccccn3)c(-c3ccc4c(c3)OCO4)[nH]2)cc1,6.47,,3.14,,,,,,4.471612227451261
P35968,KDR,NC(=O)c1ccc(-c2nc(-c3ccccn3)c(-c3ccc4c(c3)OCO4)[nH]2)cc1,2.91,,3.09,,,,,,4.698970004336019
P36888,FLT3,NC(=O)c1ccc(-c2nc(-c3ccccn3)c(-c3ccc4c(c3)OCO4)[nH]2)cc1,1.5,,2.0,,,,,,4.698970004336019
P36897,TGFBR1,NC(=O)c1ccc(-c2nc(-c3ccccn3)c(-c3ccc4c(c3)OCO4)[nH]2)cc1,13.342857142857143,39.82,79.925,97.75999999999999,,,,,7.026872146400302
P42336,PIK3CA,NC(=O)c1ccc(-c2nc(-c3ccccn3)c(-c3ccc4c(c3)OCO4)[nH]2)cc1,1.4,,-0.55,,,,,,4.698970004336019
P43405,SYK,NC(=O)c1ccc(-c2nc(-c3ccccn3)c(-c3ccc4c(c3)OCO4)[nH]2)cc1,0.63,,0.21,,,,,,4.698970004336019
P48729,CSNK1A1,NC(=O)c1ccc(-c2nc(-c3ccccn3)c(-c3ccc4c(c3)OCO4)[nH]2)cc1,13.07,,48.5,,,,,,5.853871964321762
P53350,PLK1,NC(=O)c1ccc(-c2nc(-c3ccccn3)c(-c3ccc4c(c3)OCO4)[nH]2)cc1,5.18,,2.1,,,,,,4.698970004336019
Q02750,MAP2K1,NC(=O)c1ccc(-c2nc(-c3ccccn3)c(-c3ccc4c(c3)OCO4)[nH]2)cc1,3.95,,3.52,,,,,,4.698970004336019
Q02763,TEK,NC(=O)c1ccc(-c2nc(-c3ccccn3)c(-c3ccc4c(c3)OCO4)[nH]2)cc1,5.33,,5.38,,,,,,4.698970004336019
Q06187,BTK,NC(=O)c1ccc(-c2nc(-c3ccccn3)c(-c3ccc4c(c3)OCO4)[nH]2)cc1,-0.29,,0.83,,,,,,4.698970004336019
Q08881,ITK,NC(=O)c1ccc(-c2nc(-c3ccccn3)c(-c3ccc4c(c3)OCO4)[nH]2)cc1,1.2,,1.43,,,,,,4.698970004336019
Q13464,ROCK1,NC(=O)c1ccc(-c2nc(-c3ccccn3)c(-c3ccc4c(c3)OCO4)[nH]2)cc1,0.07,,0.39,,,,,,4.698970004336019
Q16539,MAPK14,NC(=O)c1ccc(-c2nc(-c3ccccn3)c(-c3ccc4c(c3)OCO4)[nH]2)cc1,7.26,,15.52,,,,,,4.698970004336019
Q16620,NTRK2,NC(=O)c1ccc(-c2nc(-c3ccccn3)c(-c3ccc4c(c3)OCO4)[nH]2)cc1,1.54,,0.41,,,,,,4.698970004336019
Q9UM73,ALK,NC(=O)c1ccc(-c2nc(-c3ccccn3)c(-c3ccc4c(c3)OCO4)[nH]2)cc1,1.12,,2.39,,,,,,4.698970004336019
P36897,TGFBR1,O=C(O)c1ccc(-c2nc(-c3ccc(F)cc3)c(-c3ccncc3)[nH]2)cc1,,,17.0,,,,,,6.3979400086720375
Q16539,MAPK14,O=C(O)c1ccc(-c2nc(-c3ccc(F)cc3)c(-c3ccncc3)[nH]2)cc1,,,100.0,,,,,,6.305416957817734
P17252,PRKCA,COc1ccc(CCN(C)CCCC(C#N)(c2ccc(OC)c(OC)c2)C(C)C)cc1OC,,,,,,,,69.0,8.045757490560675
P17252,PRKCA,CN1CCN(CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1,,,,,,,,49.0,4.0
P17252,PRKCA,CC(C)NCC(O)COc1cccc2ccccc12,,,,,,,,58.5,3.7677552262830143
Q96L34,MARK4,CCOC(=O)C1=C(O)C(=O)N(Cc2ccccc2)C1,,,,,,70.45,,,4.301029995663981
P00533,EGFR,O=C1NC(=O)C(c2c[nH]c3ccccc23)=C1c1c[nH]c2ccccc12,,,,,,,,0.0,4.300515012401535
P17252,PRKCA,O=C1NC(=O)C(c2c[nH]c3ccccc23)=C1c1c[nH]c2ccccc12,,,57.0,,,,,3.0,6.35778463307774
P17612,PRKACA,O=C1NC(=O)C(c2c[nH]c3ccccc23)=C1c1c[nH]c2ccccc12,,,,,,,,1.0,5.53863727100337
P49841,GSK3B,O=C1NC(=O)C(c2c[nH]c3ccccc23)=C1c1c[nH]c2ccccc12,,,49.0,,,,,,5.886056647693163
P17252,PRKCA,CN(C)CCCn1cc(C2=C(c3c[nH]c4ccccc34)C(=O)NC2=O)c2ccccc21,,,4.0,,,,,,8.638272163982407
P49841,GSK3B,CN(C)CCCn1cc(C2=C(c3c[nH]c4ccccc34)C(=O)NC2=O)c2ccccc21,,,50.0,,,,,,6.719991046891814
